,train_loss,train_accuracy,test_loss,test_accuracy
0,1.1024832874536514,0.28515625,1.0916280349095662,0.625
1,1.0887422114610672,0.37109375,1.0503775278727214,0.5729166666666666
2,1.072333738207817,0.34375,1.079419215520223,0.2916666666666667
3,1.071089580655098,0.45703125,1.0202644268671672,0.59375
4,0.9885963350534439,0.55078125,1.0176699956258137,0.5340909163157145
5,0.9768642485141754,0.4375,0.9754088918368021,0.4318181872367859
6,1.0114920884370804,0.46484375,1.1357685923576355,0.311553031206131
7,0.8655329719185829,0.63671875,0.981208344300588,0.4640151560306549
8,0.8956538662314415,0.63671875,0.9672739704449972,0.4526515205701192
9,0.8037233278155327,0.6328125,0.9417515198389689,0.4318181872367859
