,train_loss,train_accuracy,test_loss,test_accuracy
0,1.1024816632270813,0.25,1.1013061205546062,0.19791666666666666
1,1.088421031832695,0.4140625,1.1117505232493083,0.19791666666666666
2,1.076952874660492,0.4140625,1.146205981572469,0.19791666666666666
3,1.1140493601560593,0.29296875,1.1248550812403362,0.19791666666666666
4,1.085431545972824,0.46484375,1.075949748357137,0.5634469787279764
5,1.0913874506950378,0.3203125,1.0473613142967224,0.59375
6,1.081425353884697,0.375,1.0734988848368328,0.45170454184214276
7,1.0657343566417694,0.484375,1.0919415354728699,0.3125
8,1.0355473086237907,0.56640625,1.1322417656580608,0.2604166666666667
9,1.017616979777813,0.48046875,1.0720422267913818,0.2916666666666667
10,1.0418655574321747,0.43359375,1.0602493683497112,0.42424242695172626
11,1.000026635825634,0.58203125,0.9912255803743998,0.5246212085088094
12,0.9242888614535332,0.5390625,1.0100327928860982,0.5132575829823812
13,0.924143772572279,0.5234375,1.0113330086072285,0.34090909361839294
14,0.9435364082455635,0.5703125,1.076888124148051,0.32954545815785724
15,1.0263501480221748,0.48046875,1.025757372379303,0.4848484893639882
16,0.9434356838464737,0.58984375,0.964581310749054,0.4744318226973216
17,1.1778872832655907,0.43359375,1.054701844851176,0.40340909361839294
18,1.0010431334376335,0.5078125,1.0668214559555054,0.3816287914911906
19,0.9954535663127899,0.40234375,1.1440452535947163,0.28977272907892865
